ip.checksum;ip.id;ip.len;ip.ttl;udp.checksum;pfcp.apply_action.buff;pfcp.apply_action.forw;pfcp.apply_action.nocp;pfcp.dst_interface;pfcp.duration_measurement;pfcp.f_seid.ipv4;pfcp.f_teid.ipv4_addr;pfcp.f_teid.teid;pfcp.f_teid_flags.ch;pfcp.f_teid_flags.ch_id;pfcp.f_teid_flags.v6;pfcp.flags;pfcp.ie_type;pfcp.msg_type;pfcp.node_id_ipv4;pfcp.outer_hdr_creation.ipv4;pfcp.outer_hdr_creation.teid;pfcp.pdr_id;pfcp.response_time;pfcp.response_to;pfcp.s;pfcp.seid;pfcp.seqno;pfcp.ue_ip_addr_ipv4;pfcp.volume_measurement.dlnop;pfcp.volume_measurement.dlvol;pfcp.volume_measurement.tonop;pfcp.volume_measurement.tovol;ip.opt.time_stamp
0x59e9;0x1;92.0;63.0;0x19ac;False;False;False;False;1754303611.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00830128768;636.0;True;0x342;113.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1aba;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00832310722;704.0;True;0x134;114.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1a55;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00832310722;704.0;True;0x99;115.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x18e8;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00850668214;704.0;True;0x106;116.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0xbb9;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00850668214;704.0;True;0xd35;117.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0xd0c;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00850668214;704.0;True;0xae2;118.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0x1372;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00850668214;704.0;True;0x37c;119.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x59e9;0x1;92.0;63.0;0xa54;False;False;False;False;1754309413.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;10.0;52.0;192.168.14.134;172.21.0.111;0x1;1.0;0.00850668214;704.0;True;0xb9a;120.0;10.45.0.103;182.0;178950.0;182.0;178661.0;2.0
0x5890;0x65de;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x1ab2;0xa3bc;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x3ec5;0x7fa9;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0xfe2b;0xc042;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0xb6d2;0x79c;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x7158;0x4d16;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x612;0xb85c;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0xbc84;0x1ea;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x4940;0x752e;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x968e;0x27e0;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x237a;0x9af4;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x1d7c;0xa0f2;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0xb418;0xa56;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x8273;0x3bfb;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0xabbc;0x12b2;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x7f6e;0x3f00;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x2a57;0x9417;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x70;0xbdfe;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x7c0f;0x425f;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x3c79;0x81f5;107.0;63.0;0x7d7c;True;False;True;True;1754053953.0;1.1.1.1;1.1.1.1;0x10001;False;False;False;0x21;60.0;50.0;1.1.1.1;192.168.14.134;0x67;0.0;0.00688909378;591.0;True;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;6.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x3737;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xa30091604f7fe000;2.0;53.187.163.160;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x31cb;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xb7a8c755a8d74000;2.0;95.66.119.134;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
